wordform	normal_form	POS	animacy	aspect	case	gender	involvement	mood	number	person	tense	transitivity	voice
слушайте	слушать	VERB	None	impf	None	None	excl	impr	plur	None	None	tran	None
древний	древний	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
бог	бог	NOUN	anim	None	nomn	masc	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
мы	мы	NPRO	None	None	nomn	None	None	None	plur	1per	None	None	None
рядом	ряд	NOUN	inan	None	ablt	masc	None	None	sing	None	None	None	None
за	за	PREP	None	None	None	None	None	None	None	None	None	None	None
одним	один	ADJF	None	None	datv	None	None	None	plur	None	None	None	None
столом	стол	NOUN	inan	None	ablt	masc	None	None	sing	None	None	None	None
да	да	PRCL	None	None	None	None	None	None	None	None	None	None	None
мы	мы	NPRO	None	None	nomn	None	None	None	plur	1per	None	None	None
помогли	помочь	VERB	None	perf	None	None	None	indc	plur	None	past	intr	None
богу	бог	NOUN	anim	None	datv	masc	None	None	sing	None	None	None	None
окончательно	окончательно	ADVB	None	None	None	None	None	None	None	None	None	None	None
одолеть	одолеть	INFN	None	perf	None	None	None	None	None	None	None	tran	None
диавола	диавол	NOUN	anim	None	gent	masc	None	None	sing	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
ведь	ведь	CONJ	None	None	None	None	None	None	None	None	None	None	None
он	он	NPRO	None	None	nomn	masc	None	None	sing	3per	None	None	None
толкнул	толкнуть	VERB	None	perf	None	masc	None	indc	sing	None	past	tran	None
людей	человек	NOUN	anim	None	gent	masc	None	None	plur	None	None	None	None
нарушить	нарушить	INFN	None	perf	None	None	None	None	None	None	None	tran	None
запрёт	запрет	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
вкусить	вкусить	INFN	None	perf	None	None	None	None	None	None	None	tran	None
пагубной	пагубный	ADJF	None	None	gent	femn	None	None	sing	None	None	None	None
свободы	свобода	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
он	он	NPRO	None	None	nomn	masc	None	None	sing	3per	None	None	None
змий	змий	NOUN	anim	None	nomn	masc	None	None	sing	None	None	None	None
ехидный	ехидный	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
а	а	CONJ	None	None	None	None	None	None	None	None	None	None	None
мы	мы	NPRO	None	None	nomn	None	None	None	plur	1per	None	None	None
сапожищем	сапожище	NOUN	inan	None	ablt	masc	None	None	sing	None	None	None	None
на	на	PREP	None	None	None	None	None	None	None	None	None	None	None
головку	головка	NOUN	inan	None	accs	femn	None	None	sing	None	None	None	None
ему	он	NPRO	None	None	datv	masc	None	None	sing	3per	None	None	None
тррах	трра	NOUN	inan	None	loct	femn	None	None	plur	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
готово	готовый	ADJS	None	None	None	neut	None	None	sing	None	None	None	None
опять	опять	ADVB	None	None	None	None	None	None	None	None	None	None	None
рай	рай	NOUN	inan	None	accs	masc	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
мы	мы	NPRO	None	None	nomn	None	None	None	plur	1per	None	None	None
снова	снова	ADVB	None	None	None	None	None	None	None	None	None	None	None
простодушны	простодушный	ADJS	None	None	None	None	None	None	plur	None	None	None	None
невинны	невинный	ADJS	None	None	None	None	None	None	plur	None	None	None	None
как	как	CONJ	None	None	None	None	None	None	None	None	None	None	None
адам	адам	NOUN	anim	None	nomn	masc	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
ева	ева	NOUN	anim	None	nomn	femn	None	None	sing	None	None	None	None
никакой	никакой	ADJF	None	None	gent	femn	None	None	sing	None	None	None	None
этой	этот	ADJF	None	None	gent	femn	None	None	sing	None	None	None	None
путаницы	путаница	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
о	о	PREP	None	None	None	None	None	None	None	None	None	None	None
добре	добро	NOUN	inan	None	loct	neut	None	None	sing	None	None	None	None
зле	зло	NOUN	inan	None	loct	neut	None	None	sing	None	None	None	None
всё	весь	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
очень	очень	ADVB	None	None	None	None	None	None	None	None	None	None	None
просто	просто	PRCL	None	None	None	None	None	None	None	None	None	None	None
райски	райски	ADVB	None	None	None	None	None	None	None	None	None	None	None
детски	детски	ADVB	None	None	None	None	None	None	None	None	None	None	None
просто	просто	PRCL	None	None	None	None	None	None	None	None	None	None	None
благодетель	благодетель	NOUN	anim	None	nomn	masc	None	None	sing	None	None	None	None
машина	машина	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
куб	куб	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
газовый	газовый	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
колокол	колокол	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
хранители	хранитель	NOUN	anim	None	nomn	masc	None	None	plur	None	None	None	None
всё	весь	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
добро	добро	ADVB	None	None	None	None	None	None	None	None	None	None	None
всё	весь	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
величественно	величественно	ADVB	None	None	None	None	None	None	None	None	None	None	None
прекрасно	прекрасно	ADVB	None	None	None	None	None	None	None	None	None	None	None
благородно	благородно	ADVB	None	None	None	None	None	None	None	None	None	None	None
возвышенно	возвышенно	ADVB	None	None	None	None	None	None	None	None	None	None	None
кристально-чисто	кристально-чисто	ADVB	None	None	None	None	None	None	None	None	None	None	None
потому	потому	ADVB	None	None	None	None	None	None	None	None	None	None	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
охраняет	охранять	VERB	None	impf	None	None	None	indc	sing	3per	pres	tran	None
нашу	наш	ADJF	None	None	accs	femn	None	None	sing	None	None	None	None
несвободу	несвобода	NOUN	inan	None	accs	femn	None	None	sing	None	None	None	None
то	то	CONJ	None	None	None	None	None	None	None	None	None	None	None
есть	есть	INTJ	None	None	None	None	None	None	None	None	None	None	None
наше	наш	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
счастье	счастие	NOUN	inan	None	nomn	neut	None	None	sing	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
древние	древние	NOUN	anim	None	nomn	None	None	None	plur	None	None	None	None
стали	стать	VERB	None	perf	None	None	None	indc	plur	None	past	intr	None
бы	бы	PRCL	None	None	None	None	None	None	None	None	None	None	None
тут	тут	ADVB	None	None	None	None	None	None	None	None	None	None	None
судить	судить	INFN	None	impf	None	None	None	None	None	None	None	tran	None
рядить	рядить	INFN	None	impf	None	None	None	None	None	None	None	tran	None
ломать	ломать	INFN	None	impf	None	None	None	None	None	None	None	tran	None
голову	голова	NOUN	inan	None	accs	femn	None	None	sing	None	None	None	None
этика	этика	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
неэтика	неэтика	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
ну	ну	PRCL	None	None	None	None	None	None	None	None	None	None	None
да	да	PRCL	None	None	None	None	None	None	None	None	None	None	None
ладно	ладный	ADJS	None	None	None	neut	None	None	sing	None	None	None	None
словом	слово	NOUN	inan	None	ablt	neut	None	None	sing	None	None	None	None
вот	вот	PRCL	None	None	None	None	None	None	None	None	None	None	None
этакую	этакий	ADJF	None	None	accs	femn	None	None	sing	None	None	None	None
вот	вот	PRCL	None	None	None	None	None	None	None	None	None	None	None
райскую	райский	ADJF	None	None	accs	femn	None	None	sing	None	None	None	None
поэмку	поэмка	NOUN	inan	None	accs	femn	None	None	sing	None	None	None	None
а	а	CONJ	None	None	None	None	None	None	None	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
при	при	PREP	None	None	None	None	None	None	None	None	None	None	None
этом	это	NPRO	None	None	loct	neut	None	None	sing	None	None	None	None
тон	тон	NOUN	inan	None	accs	masc	None	None	sing	None	None	None	None
серьёзнейший	серьёзнейший	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
понимаете	понимать	VERB	None	impf	None	None	None	indc	plur	2per	pres	tran	None
штучка	штучка	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
а	а	CONJ	None	None	None	None	None	None	None	None	None	None	None
ну	ну	PRCL	None	None	None	None	None	None	None	None	None	None	None
ещё	ещё	PRCL	None	None	None	None	None	None	None	None	None	None	None
бы	бы	PRCL	None	None	None	None	None	None	None	None	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
понять	понять	INFN	None	perf	None	None	None	None	None	None	None	tran	None
помню	помнить	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
подумал	подумать	VERB	None	perf	None	masc	None	indc	sing	None	past	intr	None
такая	такой	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
у	у	PREP	None	None	None	None	None	None	None	None	None	None	None
него	он	NPRO	None	None	gent	masc	None	None	sing	3per	None	None	None
нелепая	нелепый	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
асимметричная	асимметричный	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
внешность	внешность	NOUN	inan	None	accs	femn	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
такой	такой	ADJF	None	None	gent	femn	None	None	sing	None	None	None	None
правильно	правильно	ADVB	None	None	None	None	None	None	None	None	None	None	None
мыслящий	мыслящий	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
ум	ум	NOUN	inan	None	accs	masc	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
оттого	оттого	ADVB	None	None	None	None	None	None	None	None	None	None	None
он	он	NPRO	None	None	nomn	masc	None	None	sing	3per	None	None	None
так	так	CONJ	None	None	None	None	None	None	None	None	None	None	None
близок	близкий	ADJS	None	None	None	masc	None	None	sing	None	None	None	None
мне	я	NPRO	None	None	datv	None	None	None	sing	1per	None	None	None
настоящему	настоящий	ADJF	None	None	datv	masc	None	None	sing	None	None	None	None
мне	я	NPRO	None	None	datv	None	None	None	sing	1per	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
всё	весь	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
же	же	PRCL	None	None	None	None	None	None	None	None	None	None	None
считаю	считать	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
прежнего	прежний	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
себя	себя	NPRO	None	None	accs	None	None	None	sing	None	None	None	None
настоящим	настоящее	NOUN	inan	None	ablt	neut	None	None	sing	None	None	None	None
всё	весь	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
теперешнее	теперешний	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
конечно	конечно	CONJ	None	None	None	None	None	None	None	None	None	None	None
только	только	PRCL	None	None	None	None	None	None	None	None	None	None	None
болезнь	болезнь	NOUN	inan	None	accs	femn	None	None	sing	None	None	None	None
r	r	None	None	None	None	None	None	None	None	None	None	None	None
очевидно	очевидно	CONJ	None	None	None	None	None	None	None	None	None	None	None
прочёл	прочесть	VERB	None	perf	None	masc	None	indc	sing	None	past	tran	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
у	у	PREP	None	None	None	None	None	None	None	None	None	None	None
меня	я	NPRO	None	None	accs	None	None	None	sing	1per	None	None	None
на	на	PREP	None	None	None	None	None	None	None	None	None	None	None
лбу	лоб	NOUN	inan	None	loc2	masc	None	None	sing	None	None	None	None
обнял	обнять	VERB	None	perf	None	masc	None	indc	sing	None	past	tran	None
меня	я	NPRO	None	None	accs	None	None	None	sing	1per	None	None	None
за	за	PREP	None	None	None	None	None	None	None	None	None	None	None
плечи	плечо	NOUN	inan	None	nomn	neut	None	None	plur	None	None	None	None
захохотал	захохотать	VERB	None	perf	None	masc	None	indc	sing	None	past	intr	None
ах	ах	INTJ	None	None	None	None	None	None	None	None	None	None	None
вы	вы	NPRO	None	None	nomn	None	None	None	plur	2per	None	None	None
адам	адам	NOUN	anim	None	nomn	masc	None	None	sing	None	None	None	None
да	да	PRCL	None	None	None	None	None	None	None	None	None	None	None
кстати	кстати	CONJ	None	None	None	None	None	None	None	None	None	None	None
насчёт	насчёт	PREP	None	None	None	None	None	None	None	None	None	None	None
евы	ева	NOUN	anim	None	gent	femn	None	None	sing	None	None	None	None
он	он	NPRO	None	None	nomn	masc	None	None	sing	3per	None	None	None
порылся	порыться	VERB	None	perf	None	masc	None	indc	sing	None	past	intr	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
кармане	карман	NOUN	inan	None	loct	masc	None	None	sing	None	None	None	None
вытащил	вытащить	VERB	None	perf	None	masc	None	indc	sing	None	past	tran	None
записную	записной	ADJF	None	None	accs	femn	None	None	sing	None	None	None	None
книжку	книжка	NOUN	inan	None	accs	femn	None	None	sing	None	None	None	None
перелистал	перелистать	VERB	None	perf	None	masc	None	indc	sing	None	past	tran	None
послезавтра	послезавтра	ADVB	None	None	None	None	None	None	None	None	None	None	None
нет	нет	PRED	None	None	None	None	None	None	None	None	pres	None	None
через	через	PREP	None	None	None	None	None	None	None	None	None	None	None
два	два	NUMR	None	None	nomn	masc	None	None	None	None	None	None	None
дня	день	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
у	у	PREP	None	None	None	None	None	None	None	None	None	None	None
о	о	PREP	None	None	None	None	None	None	None	None	None	None	None
розовый	розовый	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
талон	талон	NOUN	inan	None	accs	masc	None	None	sing	None	None	None	None
к	к	PREP	None	None	None	None	None	None	None	None	None	None	None
вам	вы	NPRO	None	None	datv	None	None	None	plur	2per	None	None	None
так	так	CONJ	None	None	None	None	None	None	None	None	None	None	None
как	как	CONJ	None	None	None	None	None	None	None	None	None	None	None
вы	вы	NPRO	None	None	nomn	None	None	None	plur	2per	None	None	None
по-прежнему	по-прежнему	ADVB	None	None	None	None	None	None	None	None	None	None	None
хотите	хотеть	VERB	None	impf	None	None	None	indc	plur	2per	pres	tran	None
чтобы	чтобы	CONJ	None	None	None	None	None	None	None	None	None	None	None
она	она	NPRO	None	None	nomn	femn	None	None	sing	3per	None	None	None
ну	ну	PRCL	None	None	None	None	None	None	None	None	None	None	None
да	да	PRCL	None	None	None	None	None	None	None	None	None	None	None
ясно	ясно	ADVB	None	None	None	None	None	None	None	None	None	None	None
так	так	CONJ	None	None	None	None	None	None	None	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
скажу	сказать	VERB	None	perf	None	None	None	indc	sing	1per	futr	tran	None
а	а	CONJ	None	None	None	None	None	None	None	None	None	None	None
то	то	CONJ	None	None	None	None	None	None	None	None	None	None	None
сама	сам	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
она	она	NPRO	None	None	nomn	femn	None	None	sing	3per	None	None	None
видите	видеть	VERB	None	impf	None	None	None	indc	plur	2per	pres	tran	None
ли	ли	PRCL	None	None	None	None	None	None	None	None	None	None	None
стесняется	стесняться	VERB	None	impf	None	None	None	indc	sing	3per	pres	intr	None
такая	такой	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
вам	вы	NPRO	None	None	datv	None	None	None	plur	2per	None	None	None
скажу	сказать	VERB	None	perf	None	None	None	indc	sing	1per	futr	tran	None
история	история	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
меня	я	NPRO	None	None	accs	None	None	None	sing	1per	None	None	None
она	она	NPRO	None	None	nomn	femn	None	None	sing	3per	None	None	None
только	только	PRCL	None	None	None	None	None	None	None	None	None	None	None
так	так	CONJ	None	None	None	None	None	None	None	None	None	None	None
розово-талонно	розовый-талонный	ADJS	None	None	None	neut	None	None	sing	None	None	None	None
а	а	CONJ	None	None	None	None	None	None	None	None	None	None	None
вас	вы	NPRO	None	None	accs	None	None	None	plur	2per	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
говорит	говорить	VERB	None	impf	None	None	None	indc	sing	3per	pres	tran	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
четвёртый	четыре	ADJF	inan	None	accs	masc	None	None	sing	None	None	None	None
влез	влезть	VERB	None	perf	None	masc	None	indc	sing	None	past	intr	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
наш	наш	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
треугольник	треугольник	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
кто	кто	NPRO	None	None	nomn	masc	None	None	sing	None	None	None	None
кайтесь	каяться	VERB	None	impf	None	None	excl	impr	plur	None	None	intr	None
греховодник	греховодник	NOUN	anim	None	nomn	masc	None	None	sing	None	None	None	None
ну	ну	PRCL	None	None	None	None	None	None	None	None	None	None	None
во	в	PREP	None	None	None	None	None	None	None	None	None	None	None
мне	я	NPRO	None	None	datv	None	None	None	sing	1per	None	None	None
взвился	взвиться	VERB	None	perf	None	masc	None	indc	sing	None	past	intr	None
занавес	занавес	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
шелест	шелест	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
шелка	шёлк	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
зелёный	зелёный	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
флакон	флакон	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
губы	губа	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
ни	ни	PRCL	None	None	None	None	None	None	None	None	None	None	None
к	к	PREP	None	None	None	None	None	None	None	None	None	None	None
чему	что	NPRO	None	None	datv	neut	None	None	sing	None	None	None	None
некстати	некстати	ADVB	None	None	None	None	None	None	None	None	None	None	None
у	у	PREP	None	None	None	None	None	None	None	None	None	None	None
меня	я	NPRO	None	None	accs	None	None	None	sing	1per	None	None	None
вырвалось	вырваться	VERB	None	perf	None	neut	None	indc	sing	None	past	intr	None
если	если	CONJ	None	None	None	None	None	None	None	None	None	None	None
бы	бы	PRCL	None	None	None	None	None	None	None	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
удержался	удержаться	VERB	None	perf	None	masc	None	indc	sing	None	past	intr	None
а	а	CONJ	None	None	None	None	None	None	None	None	None	None	None
скажите	сказать	VERB	None	perf	None	None	excl	impr	plur	None	None	tran	None
вам	вы	NPRO	None	None	datv	None	None	None	plur	2per	None	None	None
когда-нибудь	когда-нибудь	ADVB	None	None	None	None	None	None	None	None	None	None	None
случалось	случаться	VERB	None	impf	None	neut	None	indc	sing	None	past	intr	None
пробовать	пробовать	INFN	None	impf	None	None	None	None	None	None	None	tran	None
никотин	никотин	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
или	или	CONJ	None	None	None	None	None	None	None	None	None	None	None
алкоголь	алкоголь	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
r	r	None	None	None	None	None	None	None	None	None	None	None	None
подобрал	подобрать	VERB	None	perf	None	masc	None	indc	sing	None	past	tran	None
губы	губа	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
поглядел	поглядеть	VERB	None	perf	None	masc	None	indc	sing	None	past	tran	None
на	на	PREP	None	None	None	None	None	None	None	None	None	None	None
меня	я	NPRO	None	None	accs	None	None	None	sing	1per	None	None	None
исподлобья	исподлобья	ADVB	None	None	None	None	None	None	None	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
совершенно	совершенно	ADVB	None	None	None	None	None	None	None	None	None	None	None
ясно	ясно	ADVB	None	None	None	None	None	None	None	None	None	None	None
слышал	слышать	VERB	None	impf	None	masc	None	indc	sing	None	past	tran	None
его	он	NPRO	None	None	accs	masc	None	None	sing	3per	None	None	None
мысли	мысль	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
приятель-то	приятель-то	NOUN	anim	None	nomn	masc	None	None	sing	None	None	None	None
ты	ты	NPRO	None	None	nomn	None	None	None	sing	2per	None	None	None
приятель	приятель	NOUN	anim	None	nomn	masc	None	None	sing	None	None	None	None
а	а	CONJ	None	None	None	None	None	None	None	None	None	None	None
всё-таки	всё-таки	CONJ	None	None	None	None	None	None	None	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
ответ	ответ	NOUN	inan	None	accs	masc	None	None	sing	None	None	None	None
да	да	PRCL	None	None	None	None	None	None	None	None	None	None	None
как	как	CONJ	None	None	None	None	None	None	None	None	None	None	None
сказать	сказать	INFN	None	perf	None	None	None	None	None	None	None	tran	None
собственно	собственно	ADVB	None	None	None	None	None	None	None	None	None	None	None
нет	нет	PRED	None	None	None	None	None	None	None	None	pres	None	None
но	но	CONJ	None	None	None	None	None	None	None	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
знал	знать	VERB	None	impf	None	masc	None	indc	sing	None	past	tran	None
одну	один	ADJF	None	None	accs	femn	None	None	sing	None	None	None	None
женщину	женщина	NOUN	anim	None	accs	femn	None	None	sing	None	None	None	None
i	i	None	None	None	None	None	None	None	None	None	None	None	None
закричал	закричать	VERB	None	perf	None	masc	None	indc	sing	None	past	intr	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
как	как	CONJ	None	None	None	None	None	None	None	None	None	None	None
вы	вы	NPRO	None	None	nomn	None	None	None	plur	2per	None	None	None
вы	вы	NPRO	None	None	nomn	None	None	None	plur	2per	None	None	None
тоже	тоже	ADVB	None	None	None	None	None	None	None	None	None	None	None
с	с	PREP	None	None	None	None	None	None	None	None	None	None	None
нею	нея	NOUN	inan	None	accs	femn	None	None	sing	None	None	None	None
налился	налиться	VERB	None	perf	None	masc	None	indc	sing	None	past	intr	None
смехом	смех	NOUN	inan	None	ablt	masc	None	None	sing	None	None	None	None
захлебнулся	захлебнуться	VERB	None	perf	None	masc	None	indc	sing	None	past	intr	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
сейчас	сейчас	ADVB	None	None	None	None	None	None	None	None	None	None	None
брызнет	брызнуть	VERB	None	perf	None	None	None	indc	sing	3per	futr	tran	None
зеркало	зеркало	NOUN	inan	None	nomn	neut	None	None	sing	None	None	None	None
у	у	PREP	None	None	None	None	None	None	None	None	None	None	None
меня	я	NPRO	None	None	accs	None	None	None	sing	1per	None	None	None
висело	висеть	VERB	None	impf	None	neut	None	indc	sing	None	past	intr	None
так	так	CONJ	None	None	None	None	None	None	None	None	None	None	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
смотреться	смотреться	INFN	None	impf	None	None	None	None	None	None	None	intr	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
него	он	NPRO	None	None	gent	masc	None	None	sing	3per	None	None	None
надо	надо	PRED	None	None	None	None	None	None	None	None	pres	None	None
было	быть	VERB	None	impf	None	neut	None	indc	sing	None	past	intr	None
через	через	PREP	None	None	None	None	None	None	None	None	None	None	None
стол	стол	NOUN	inan	None	accs	masc	None	None	sing	None	None	None	None
отсюда	отсюда	ADVB	None	None	None	None	None	None	None	None	None	None	None
с	с	PREP	None	None	None	None	None	None	None	None	None	None	None
кресла	кресло	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
видел	видеть	VERB	None	impf	None	masc	None	indc	sing	None	past	tran	None
только	только	PRCL	None	None	None	None	None	None	None	None	None	None	None
свой	свой	ADJF	inan	None	accs	masc	None	None	sing	None	None	None	None
лоб	лоб	NOUN	inan	None	accs	masc	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
брови	бровь	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
вот	вот	PRCL	None	None	None	None	None	None	None	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
настоящий	настоящий	ADJF	inan	None	accs	masc	None	None	sing	None	None	None	None
увидел	увидеть	VERB	None	perf	None	masc	None	indc	sing	None	past	tran	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
зеркале	зеркало	NOUN	inan	None	loct	neut	None	None	sing	None	None	None	None
исковерканную	исковеркать	PRTF	None	perf	accs	femn	None	None	sing	None	past	tran	pssv
прыгающую	прыгать	PRTF	None	impf	accs	femn	None	None	sing	None	pres	intr	actv
прямую	прямая	NOUN	inan	None	accs	femn	None	None	sing	None	None	None	None
бровей	бровь	NOUN	inan	None	gent	femn	None	None	plur	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
настоящий	настоящий	ADJF	inan	None	accs	masc	None	None	sing	None	None	None	None
услышал	услышать	VERB	None	perf	None	masc	None	indc	sing	None	past	tran	None
дикий	дикий	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
отвратительный	отвратительный	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
крик	крик	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
тоже	тоже	ADVB	None	None	None	None	None	None	None	None	None	None	None
нет	нет	PRED	None	None	None	None	None	None	None	None	pres	None	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
такое	такой	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
тоже	тоже	ADVB	None	None	None	None	None	None	None	None	None	None	None
нет	нет	PRED	None	None	None	None	None	None	None	None	pres	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
требую	требовать	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
распяленные	распялить	PRTF	None	perf	nomn	None	None	None	plur	None	past	tran	pssv
негрские	негрский	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
губы	губа	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
вытаращенные	вытаращить	PRTF	None	perf	nomn	None	None	None	plur	None	past	tran	pssv
глаза	глаз	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
настоящий	настоящий	ADJF	inan	None	accs	masc	None	None	sing	None	None	None	None
крепко	крепко	ADVB	None	None	None	None	None	None	None	None	None	None	None
схватил	схватить	VERB	None	perf	None	masc	None	indc	sing	None	past	tran	None
за	за	PREP	None	None	None	None	None	None	None	None	None	None	None
шиворот	шиворот	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
этого	это	NPRO	None	None	gent	neut	None	None	sing	None	None	None	None
другого	другой	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
себя	себя	NPRO	None	None	accs	None	None	None	sing	None	None	None	None
дикого	дикий	ADJF	None	None	gent	masc	None	None	sing	None	None	None	None
лохматого	лохматый	ADJF	None	None	gent	masc	None	None	sing	None	None	None	None
тяжело	тяжело	ADVB	None	None	None	None	None	None	None	None	None	None	None
дышащего	дышать	PRTF	None	impf	gent	masc	None	None	sing	None	pres	intr	actv
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
